epoch,train_loss,val_loss,lr,time_s,del
83,4.342090e-05,5.246534e-05,8.372112e-05,125.4,-2.482252e-05
84,4.326530e-05,4.593242e-05,8.332609e-05,125.5,-1.828960e-05
85,4.310545e-05,4.360092e-05,8.292728e-05,125.6,-1.595810e-05
86,5.634106e-05,3.956881e-05,8.252473e-05,125.5,-1.192600e-05
87,3.911066e-05,4.033678e-05,8.211850e-05,125.6,-1.269397e-05
88,6.090400e-05,2.299120e-05,8.170863e-05,125.6,4.651619e-06
89,3.200340e-05,4.255057e-05,8.129516e-05,128.3,-1.955938e-05
90,3.803545e-05,3.820530e-05,8.087814e-05,125.5,-1.521411e-05
91,3.829706e-05,1.204861e-04,8.045762e-05,125.8,-9.749486e-05
92,3.865071e-05,3.784366e-05,8.003365e-05,125.9,-1.485246e-05
93,3.589425e-05,2.950918e-05,7.960627e-05,125.9,-6.517985e-06
94,4.028187e-05,2.674049e-05,7.917554e-05,125.7,-3.749294e-06
95,3.394666e-05,3.074870e-05,7.874150e-05,125.7,-7.757509e-06
96,3.411501e-05,3.427572e-05,7.830419e-05,125.8,-1.128453e-05
97,3.336647e-05,5.581222e-05,7.786368e-05,125.6,-3.282103e-05
98,3.306931e-05,1.308617e-04,7.742001e-05,125.8,-1.078705e-04
99,3.184376e-05,3.351661e-05,7.697323e-05,125.8,-1.052541e-05
100,3.140232e-05,2.668025e-05,7.652339e-05,125.8,-3.689057e-06
101,3.110365e-05,2.770691e-05,7.607055e-05,125.7,-4.715714e-06
102,4.171099e-05,9.223158e-04,7.561475e-05,125.7,-8.993247e-04
103,2.536620e-05,2.794907e-05,7.515604e-05,125.3,-4.957874e-06
104,2.846322e-05,2.656848e-05,7.469448e-05,125.5,-3.577280e-06
105,2.872461e-05,2.681620e-05,7.423012e-05,125.5,-3.825000e-06
106,2.796626e-05,3.347511e-05,7.376301e-05,125.6,-1.048391e-05
107,2.726337e-05,2.895712e-05,7.329321e-05,125.7,-5.965924e-06
108,2.674314e-05,2.570621e-05,7.282077e-05,125.6,-2.715017e-06
109,2.661858e-05,2.754940e-05,7.234574e-05,125.6,-4.558204e-06
110,2.619031e-05,3.612707e-05,7.186818e-05,125.6,-1.313587e-05
111,2.552726e-05,2.840897e-05,7.138814e-05,125.8,-5.417773e-06
112,2.458650e-05,5.332325e-05,7.090567e-05,125.7,-3.033205e-05
113,3.513780e-05,2.031753e-05,7.042083e-05,125.4,2.673665e-06
114,2.219091e-05,2.651689e-05,6.993368e-05,128.2,-6.199354e-06
115,2.267546e-05,2.418029e-05,6.944426e-05,125.4,-3.862756e-06
116,2.294419e-05,2.222001e-05,6.895265e-05,125.7,-1.902476e-06
117,2.222986e-05,2.664198e-05,6.845888e-05,125.8,-6.324446e-06
118,2.213513e-05,2.030967e-05,6.796302e-05,125.8,7.861789e-09
119,2.153320e-05,2.651309e-05,6.746512e-05,128.3,-6.203421e-06
120,2.167002e-05,2.199717e-05,6.696525e-05,125.6,-1.687503e-06
121,2.056244e-05,2.113055e-05,6.646345e-05,125.8,-8.208804e-07
122,2.030237e-05,2.810617e-05,6.595978e-05,125.6,-7.796505e-06
123,1.997574e-05,3.271802e-05,6.545430e-05,125.8,-1.240835e-05
124,1.981317e-05,1.591591e-05,6.494708e-05,125.8,4.393760e-06
125,1.991667e-05,1.767124e-05,6.443815e-05,128.4,-1.755329e-06
